block_name,category_key,template_name,block_category_position_name
CMS block for category Notebooks,5,CMS Block,Top
Category CMS page showcase for Top position,7,Catalog + CMS Block,Top
Category CMS page showcase for Middle position,7,Catalog + CMS Block,Middle
Category CMS page showcase for Bottom position,7,Catalog + CMS Block,Bottom
Category CMS page showcase for Top position,11,Catalog + CMS Block,Top
Category CMS page showcase for Middle position,11,Catalog + CMS Block,Middle
Category CMS page showcase for Bottom position,11,Catalog + CMS Block,Bottom
Category CMS page showcase for Top position,9,Catalog + CMS Block,Top
Category CMS page showcase for Middle position,9,Catalog + CMS Block,Middle
Category CMS page showcase for Bottom position,9,Catalog + CMS Block,Bottom